kind,sample_id_a,split_a,label_a,sample_id_b,split_b,label_b,dhash_hamming,ahash_hamming,same_label,same_split,sha256_a,sha256_b,relpath_a,relpath_b
near_hash,test_benign_0004,test,0,trainval_benign_0321,trainval,0,1,0,True,False,6549a0053b9b3ae7efb75d0518494e86c49344469eac7ded25818214121046c9,de6b8356dbcc0c2ed85ce698bb9160a782c6d7bf0826dd157f823b63e1662322,JPEGImages/test_benign_0004.png,JPEGImages/trainval_benign_0321.png
near_hash,test_benign_0005,test,0,trainval_benign_0322,trainval,0,1,1,True,False,d39ae37d754d447a08a4a24fa7a4cd9b47004f4883ddeda47565e8604adbb4d4,1fe5239477442d083e292e57e426e0ac973934157e43cb2e07d132681fab1015,JPEGImages/test_benign_0005.png,JPEGImages/trainval_benign_0322.png
near_hash,test_benign_0009,test,0,trainval_benign_0326,trainval,0,2,2,True,False,78296c46e4c5a7bbb161114b958fd31ba26eb5cad3ea6261917bd7b421e564d2,dff47fcb718896af2cec3549af3eaf66ee24993c2f686ed67584308ea8aa34eb,JPEGImages/test_benign_0009.png,JPEGImages/trainval_benign_0326.png
near_hash,test_benign_0081,test,0,trainval_benign_0197,trainval,0,5,1,True,False,6b25b8140320aa6e699a8f77a6766890735f84fa777bd8b88d8f23542927a862,d32728bf4d14b5c3e05dd5e50a16c130b456907f48fd39fe3e6b135e1fffbec3,JPEGImages/test_benign_0081.png,JPEGImages/trainval_benign_0197.png
near_hash,test_benign_0132,test,0,trainval_benign_0038,trainval,0,0,0,True,False,72a1dc8250c52a7495a34914339f908e8aac459929845fe0dbb81764797b68ea,7703a0d4ed5904b8cd10872b0812d5f3404393943659ad15f696cb93b21bd609,JPEGImages/test_benign_0132.png,JPEGImages/trainval_benign_0038.png
near_hash,test_benign_0133,test,0,trainval_benign_0051,trainval,0,4,0,True,False,c54cffcd042f47c126c16b19f27f493495f1fa1d0af3e6aa3b204ab3bca888d0,4f3bd86760a41d589f8a2261b71bc3f7e80156f50087a7bb0a6f65b242fbb43f,JPEGImages/test_benign_0133.png,JPEGImages/trainval_benign_0051.png
near_hash,test_benign_0136,test,0,trainval_benign_0050,trainval,0,1,1,True,False,42b2460b22887db6a5a6894901fcf5012e8d211f3734054900efb8488de8e58f,53b253c49c18492a2efc9d3c2a0def1ef29426d2f6424122d49187742e198515,JPEGImages/test_benign_0136.png,JPEGImages/trainval_benign_0050.png
near_hash,test_benign_0207,test,0,trainval_benign_0256,trainval,0,5,0,True,False,0091c65812a5cbcd24d202674e3984831e48254a4ecdf35e8a38f839db908450,cc7662db553921b72d504532552a5be53991a4d7be7025a7810c160a7d9bbb22,JPEGImages/test_benign_0207.png,JPEGImages/trainval_benign_0256.png
near_hash,test_benign_0215,test,0,trainval_benign_0270,trainval,0,1,2,True,False,80c6f3dab044132c98cae20d6368d1493d8b199a2b300e8bfa2f5093de0f1274,3d4b699c1f1ee0e8b31f481ea3f08db83408a77cc5e7c5e4837750431e3bc8f4,JPEGImages/test_benign_0215.png,JPEGImages/trainval_benign_0270.png
near_hash,test_benign_0228,test,0,trainval_benign_0306,trainval,0,2,0,True,False,5d009d5dc31453b96f653530892844ce2e95685a66741e8eb0da84673734b7a9,61a110ef067c4ec1c83b5a7f327cc360eee254bc50879e5b128a14163de7bbde,JPEGImages/test_benign_0228.png,JPEGImages/trainval_benign_0306.png
