dataset,fold,split,source_split,image_id,image_path,gt_xmin,gt_ymin,gt_xmax,gt_ymax,pred_xmin,pred_ymin,pred_xmax,pred_ymax,confidence,iou,no_detection,weights,pred_voc_root
busi,0,val,fold0_val,trainval_benign_0010,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0010.png,0.0,24.0,281.0,305.0,0.0,3.7706875801086426,289.0492858886719,327.50048828125,0.9527643322944641,0.8438360188521798,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0106,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0106.png,174.0,112.0,409.0,347.0,177.78607177734375,114.07625579833984,399.1086120605469,338.1728515625,0.8323168158531189,0.8981010021429067,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0108,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0108.png,470.0,4.0,768.0,302.0,0.0,0.0,102.76693725585938,293.6656799316406,0.15073780715465546,0.0,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0011,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0011.png,315.0,63.0,490.0,238.0,312.407470703125,60.53426742553711,488.00347900390625,234.27325439453125,0.9335789084434509,0.940602671721505,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0111,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0111.png,142.0,110.0,256.0,224.0,136.8852081298828,104.89659118652344,261.05938720703125,227.67074584960938,0.9103196859359741,0.8524549806710919,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0116,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0116.png,52.0,0.0,242.0,190.0,0.0,0.0,99.13003540039062,295.7943420410156,0.21621496975421906,0.1585818936619719,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0123,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0123.png,231.0,12.0,573.0,354.0,230.69606018066406,13.419116973876953,569.2302856445312,365.38818359375,0.9122629165649414,0.9526306340161699,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0124,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0124.png,154.0,90.0,432.0,368.0,145.7085418701172,46.23875045776367,440.2139587402344,366.57489013671875,0.9014322757720947,0.8115930776445297,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0139,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0139.png,264.0,0.0,488.0,224.0,260.0999450683594,0.3953533470630646,493.0321044921875,221.9821319580078,0.897272527217865,0.951686357564528,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0146,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0146.png,92.0,65.0,226.0,199.0,89.82061767578125,62.85163116455078,226.1390838623047,198.02999877929688,0.8447780609130859,0.9605940228986198,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
busi,0,val,fold0_val,trainval_benign_0148,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi\busi_voc_v3_square_consistent\JPEGImages\trainval_benign_0148.png,127.0,18.0,329.0,220.0,132.19491577148438,22.829219818115234,326.7703857421875,220.6484375,0.9227570295333862,0.9373182957469712,0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_aul_roi_detector_runs\busi\yolo11n_busi_lesion_f0_20260503_181547\weights\best.pt,C:\Users\Afr1ste\PycharmProjects\Thyroid\eval_reports\busi_aul_detector_box_quality_auto_20260504_165040\pred_voc_roots\busi_fold0_predbox
